word,count
lares,288.73820536540603
rales,292.10607462226193
tares,302.49167437556974
soare,303.8308664816593
reais,304.76102374343446
nares,305.5487203206884
aeros,309.7334258402732
rates,311.3553808202176
arles,314.7338883749586
serai,315.1333641689783
saner,317.73604687018053
tales,325.5948196114751
aloes,326.70012334258405
reals,329.10900400863324
lanes,330.21122417515403
lears,331.2750539623805
salet,333.6509404872215
laers,334.4679309281461
seral,335.69719395622496
teras,337.0383903792731
lores,339.8643231575715
earls,342.1002158495337
saine,342.25346901017866
raise,343.4048720320541
roles,345.10329941411123
reans,347.0380820228208
tears,349.51695960530657
aeons,350.0619796484779
sorel,350.32053654022866
nears,350.3987049028745
cares,350.9448041936252
aures,352.22463768116467
dares,352.58217699660685
nates,352.67375886524735
stoae,353.4582176996641
laser,354.0357693493655
strae,354.1641998149883
toeas,354.69673142153323
tores,358.14045636755054
mares,359.20582793708405
soler,360.90579710143436
sared,360.9370952821333
races,361.30851063827464
pares,362.0741597286592
taser,362.45436324390147
earns,362.55211224173814
orles,364.5107924760913
rones,365.40363860622773
hares,366.0618254702594
snare,368.4400246685064
riles,368.79124267655
sayer,369.9890533456512
rotes,370.5638297872322
teals,371.22540857230103
rapes,372.6460067838657
solei,372.76888683317844
leans,373.49999999998727
leats,374.99090348441314
aesir,375.09343200739505
gares,375.627967930943
neals,376.74761023741536
taels,376.86786925687034
dales,377.68840579709627
laris,377.8302497687291
dates,381.89793401172506
arose,382.05365402406306
taros,382.5178846746831
bares,383.07446808511145
rails,383.518038852927
tires,384.25794017886034
lades,384.7258711069987
roues,384.7597903175858
siler,385.15078630897636
kaies,385.2246376811665
rages,385.3160653715902
arets,386.2460684551271
lairs,386.5185013876038
slate,386.7311131668226
saice,388.42183163736377
toles,388.742213999388
dears,390.0723095898603
leirs,390.15063213074274
sated,390.4093432007728
slier,391.5072463768182
aides,391.978723404251
arise,392.4685476410648
saute,392.85599753313727
ratos,392.9324699352557
laces,393.11532531605275
tries,393.7950971322958
ayres,394.0493370336151
salue,394.11455442492047
slane,394.1546407647403
antes,394.4514338575341
stear,394.6415356151653
yales,395.2732038236144
siren,396.3891458525887
rines,397.46037619487186
lotes,397.47810669133463
cates,397.7590194264694
renos,398.184859697818
sager,398.9289238359497
neats,399.23342584028154
soral,399.4124267653409
liras,399.45652173915227
noles,399.58711069998014
rakes,399.6555658340991
stale,399.7150786309049
pales,399.9842738205199
solar,400.56444650014504
lames,400.68285538081966
tames,401.32192414432825
resat,401.51387604071095
seron,402.5672217082986
rials,403.6202590194636
serac,403.9613012642458
roans,403.98859081098504
saber,404.2073697194177
manes,404.219087264903
hales,404.3464384828916
mates,404.40826395314
raits,405.1322849213813
senor,405.4569842738221
apres,405.8942337342106
eorls,406.34242984891483
panes,406.47563983966165
eards,406.9710144927368
rotas,407.8080481036196
naris,409.2167745914074
liars,409.25316065372533
sarge,409.7756706752839
reast,410.06444650019364
years,410.16959605303174
amies,410.92445266729027
pates,410.92923219239276
reams,412.4580635214398
ranis,412.7710453283812
tones,412.9167437557909
scrae,413.02081406106043
samel,413.49306197962346
larns,413.5482577859932
gales,413.74992291088387
deals,414.14739438791804
pears,414.4599136601978
satem,414.4989207524095
names,415.45127967933485
gates,417.21415356150766
loser,417.8815911193325
stane,417.9748689484886
reaps,418.0767807585732
aisle,418.4173604686887
bales,418.6225716928778
store,418.6472402096874
napes,419.2557816836335
leads,419.9107308048189
spaer,419.91859389452566
sarin,420.1948812827509
serin,421.158495220443
sonar,422.78075855687985
tabes,422.80080172682113
sorta,422.9736355226572
hears,424.4748689485021
telos,424.6894850447242
mores,424.7860006167415
bates,425.04455750849735
dores,425.3374961455382
roset,427.6273512180062
earst,429.08233117485327
gears,430.7139993833257
roate,431.07647240209104
daris,432.9816527906331
lites,433.2918593894349
oater,433.6023743447343
takes,435.6885599753276
rodes,438.6247301880797
bears,438.6628122109318
nabes,439.47132284920195
spare,440.1954979956916
ursae,440.57755164968387
aster,440.87511563365405
safer,441.4119642306327
sepia,441.4205982115522
meals,441.6099290780075
stire,442.629663891468
tesla,442.75547332717287
steal,442.76164045635915
share,443.03530681465764
deros,443.52651865556345
slade,443.7496145543862
loris,443.7812210915831
tased,444.1896392229791
terns,444.7346592661308
noser,445.1043786617495
aegis,445.58587727412424
leams,447.533456675913
teils,447.8860622880013
raine,448.1547949429579
stela,448.6493987048916
uraos,449.98936170213034
rohes,450.6142460684694
osier,451.8903792784497
lotas,452.2223250076899
artis,452.8200740055563
pelas,452.9196731421273
toise,452.97764415662476
stole,453.5149552882913
stade,453.6674375578545
roils,453.7013567683971
nerts,453.8139068763674
loirs,455.30635214304345
leaps,455.5607462226191
eyras,456.13336416897744
means,456.1850138760549
stean,457.6520197347863
redos,458.41211840887166
kores,459.1612704286423
acers,460.4039469626677
lards,462.47070613631746
nails,462.6720629046928
peats,464.39392537771147
rides,465.3194572926166
dotes,467.1930311439802
trues,468.2752081406065
spear,469.4588344125851
cames,471.26025285233106
losen,473.6720629046978
slart,474.0271353684864
datos,475.11147086032645
orate,479.8513721862407
solan,481.12180080172243
spale,481.7184705519751
spate,482.12349676224466
darns,483.41551032996614
ramis,485.3982423681436
leaks,485.65479494297404
seric,485.8484427998903
dalis,487.38267036692105
smore,488.8723404255339
lopes,489.29201356766197
spier,494.2540857231163
noirs,498.40302189327434
neral,499.2119950662593
nards,499.2941720629315
miles,505.7263336417042
soyle,508.99121184086215
sabir,519.4596053037621
hanse,527.2992599445449
dorse,527.4045636756287
loner,534.325932778308
seals,565.249460376213
